t_idx,date,main_pl_nll,top6_recall,hit_any,nll_Bayes,nll_Markov,nll_HMM,nll_LSTM,nll_Transformer,nll_GNN
599,2024-12-02,21.739812172559713,0.16666666666666666,1,21.588743671663288,21.353229460480254,21.239333069316302,21.692677344928434,21.76889769025842,21.76117130463871
600,2024-12-04,21.739812172559713,0.16666666666666666,1,21.817869453903647,21.826423481774995,23.208437673794332,21.780844132028918,22.05744681669478,21.59829469578579
601,2024-12-07,21.739812172559713,0.0,0,21.801551867124218,21.544717069753126,21.39201305771683,21.73756759671013,22.137120378616423,22.047013642426126
602,2024-12-09,21.739812172559713,0.0,0,21.09296593651849,21.03202793635902,21.64447869240374,21.66306199371639,21.968230353333812,21.958439298480496
603,2024-12-11,21.739812172559713,0.16666666666666666,1,21.474646259090246,21.47276353523521,21.164195536798456,21.655508798741828,21.272441750512282,21.65601573669774
604,2024-12-14,21.739812172559713,0.0,0,22.010939081738943,21.88967851822688,23.134091565003853,21.70870269402299,21.61133527621627,21.974323162677226
605,2024-12-16,21.739812172559713,0.16666666666666666,1,21.752543266190514,21.864806751709096,22.41547380966695,21.771965648807523,21.53454091244369,21.58672750299097
606,2024-12-18,21.739812172559713,0.0,0,21.95096989916143,21.91075622921905,22.9151207326673,21.731923294355685,23.465444107569976,21.605046504436107
607,2024-12-21,21.739812172559713,0.0,0,21.824809389548165,21.80216355608793,22.24387792263966,21.726303476074154,22.340897003836865,21.572731795070215
608,2024-12-23,21.739812172559713,0.3333333333333333,1,22.166375919696225,22.130262461205437,24.09325613375346,21.730239315130873,21.553212926687866,22.327340485153165
609,2024-12-28,21.739812172559713,0.3333333333333333,1,21.77667937988565,21.723326831482606,20.156256283848112,21.738688453296955,21.594137657282715,21.825911227785134
610,2024-12-30,21.739812172559713,0.0,0,22.330579133601987,22.062319940074435,22.923544415560606,21.738276497611153,21.01447658790138,21.88220779847127
611,2025-01-01,21.739812172559713,0.0,0,21.715638776036727,21.80791325901749,22.64698348147748,21.732016725843827,22.43913599806767,21.6864143809689
612,2025-01-04,21.739812172559713,0.16666666666666666,1,22.25816233422741,22.444555358356155,23.834957247434698,21.725306635020004,22.677440540115192,22.26094060319994
